Country,Political Side,Distance
Chile,Left,-0.3324097996413951
Chile,Left,-0.19186118338503194
Chile,Left,-0.10594852752613733
Chile,Left,-0.3366639824933317
Chile,Left,-0.12110852041181153
Chile,Left,-0.07179262616209048
Chile,Left,-0.27924001449740443
Chile,Left,-0.21804737378575154
Chile,Left,-0.27423107468247926
Chile,Left,-0.36732959084938616
Chile,Left,-0.11696335161119001
Chile,Left,0.04520645845413018
Chile,Left,-0.32145828515064867
Chile,Left,-0.3123226293773671
Chile,Left,0.07697717125142249
Chile,Left,0.0034957641230246106
Chile,Left,-0.37383725566602716
Chile,Left,-0.0712728506557661
Chile,Left,-0.06859804521637532
Chile,Left,-0.21117562197875847
Chile,Left,-0.07480254766530064
Chile,Left,-0.07480254766530064
Chile,Left,-0.07480254766530064
Chile,Left,-0.07480254766530064
Chile,Left,-0.07480254766530064
Chile,Left,-0.23779949199941167
Chile,Left,-0.23660478724645767
Chile,Left,-0.2236263711089137
Chile,Left,-0.16207793721439614
Chile,Left,-0.30127230959602136
Chile,Left,-0.13643553996627011
Chile,Left,-0.33665726111075184
Chile,Left,-0.13311099958950964
Chile,Left,-0.20715837899790773
Chile,Left,-0.17115841758046202
Chile,Left,-0.06886581135167263
Chile,Left,-0.3299486887053994
Chile,Left,-0.3230663736345318
Chile,Left,-0.22352809031117876
Chile,Left,-0.10022364908232141
Chile,Left,-0.2753593570488879
Chile,Left,-0.2556627285005812
Chile,Left,0.08773564985539647
Chile,Left,-0.12371092181475724
Chile,Left,-0.021393440867552786
Chile,Left,-0.2501590946225525
Chile,Left,-0.12857111588043157
Chile,Left,-0.15705346970841952
Chile,Left,-0.27032787016018395
Chile,Left,-0.026640244895197576
Chile,Left,-0.07950526937996179
Chile,Left,-0.15820735167400293
Chile,Left,0.048750909916458515
Chile,Left,0.04370775836784871
Chile,Left,-0.2806391273180285
Chile,Left,-0.21174852717084452
Chile,Left,0.3286503758731612
Chile,Left,-0.19066660074458666
Chile,Left,-0.011755291764494798
Chile,Left,-0.35039895571723173
Chile,Left,-0.0197278532664134
Chile,Left,0.09818993043872631
Chile,Left,-0.0768536087676717
Chile,Left,-0.07467135236773892
Chile,Left,-0.19418360648757396
Chile,Left,-0.2166998269616627
Chile,Left,-0.2568336882316965
Chile,Left,-0.11082403403635153
Chile,Left,-0.2904343178290877
Chile,Left,-0.2904343178290877
Chile,Left,0.05644866901019586
Chile,Left,-0.3647026664964604
Chile,Left,-0.09304201092340326
Chile,Left,-0.09304201092340326
Chile,Left,-0.21423837229520412
Chile,Left,-0.21423837229520412
Chile,Left,-0.34538219117623625
Chile,Left,-0.3292169524882743
Chile,Left,-0.35578139147595195
Chile,Left,-0.037542204758308696
Chile,Left,-0.15479892857458558
Chile,Left,-0.2973542883851978
Chile,Left,-0.20802997948772195
Chile,Left,-0.20802997948772195
Chile,Left,-0.26366444872617095
Chile,Left,-0.282197813222966
Chile,Left,-0.26987618803247226
Chile,Left,-0.33435952654076434
Chile,Left,-0.10390908418742811
Chile,Left,-0.20900723192387552
Chile,Left,-0.20900723192387552
Chile,Left,0.18777083665335562
Chile,Left,-0.18647435244596164
Chile,Left,-0.21450526703232328
Chile,Left,-0.18651395251901515
Chile,Left,-0.30673865843819453
Chile,Left,-0.16558314344454247
Chile,Left,-0.35441945201995845
Chile,Left,-0.30105407920495514
Chile,Left,-0.09862878996263291
Chile,Left,0.09901224090267825
Chile,Left,-0.30750005579242884
Chile,Left,0.22287690502674298
Chile,Left,-0.3038612408545159
Chile,Left,-0.17798774566696338
Chile,Left,0.13253102142538095
Chile,Left,-0.23808363608865704
Chile,Left,-0.33523838252083227
Chile,Left,-0.24120932267978723
Chile,Left,-0.12920777582691173
Chile,Left,-0.18781958730768114
Chile,Left,-0.30957648019427025
Chile,Left,-0.19218426203629652
Chile,Left,-0.18051709105330016
Chile,Left,-0.272224773138162
Chile,Left,-0.250683626374224
Chile,Left,-0.2804431934798942
Chile,Left,-0.19440320606952044
Chile,Left,-0.1895648814914531
Chile,Left,-0.25004293385666204
Chile,Left,0.31795400877409574
Chile,Left,-0.1650276597223978
Chile,Left,-0.23421852635406268
Chile,Left,0.18005714928853145
Chile,Left,-0.26048665438492974
Chile,Left,-0.24016459013717167
Chile,Left,0.14965961124228078
Chile,Left,-0.048397441860037
Chile,Left,-0.2595271792888192
Chile,Left,-0.29943805491092673
Chile,Left,-0.1234844985589412
Chile,Left,-0.008568292795368417
Chile,Left,-0.3291418993174149
Chile,Left,-0.14930040666360897
Chile,Left,-0.06544780184303825
Chile,Left,-0.008758177671932526
Chile,Left,-0.19898490908964708
Chile,Left,0.04402758080893544
Chile,Left,-0.24679904959339283
Chile,Left,-0.1348058093477468
Chile,Left,-0.17504436336162363
Chile,Left,-0.016854565804630958
Chile,Left,-0.08842248101947232
Chile,Left,-0.23225336725137555
Chile,Left,-0.16710942996781353
Chile,Left,-0.27199885419459935
Chile,Left,-0.28191224270750126
Chile,Left,-0.13949217897616953
Chile,Left,-0.25978491594278574
Chile,Left,-0.1095404187066656
Chile,Left,-0.3486561338754778
Chile,Left,0.12831935846592046
Chile,Left,0.11835057772544964
Chile,Left,-0.22532180162664878
Chile,Left,-0.23332346761882383
Chile,Left,-0.25358536396899833
Chile,Left,-0.18643595882408828
Chile,Left,-0.15997480909023012
Chile,Left,-0.12005905628287283
Chile,Left,-0.2284426750705267
Chile,Left,-0.253525795634531
Chile,Left,-0.225042436029621
Chile,Left,-0.20356245367897605
