uuid,z1,z2
00e75f82-5c64-46d7-bc93-f2bd137a3da2,0.847503,0.5522666
00e7ecd1-f31a-43f3-b303-c0493cb792b2,0.83085793,0.5202636
00e9dc51-d578-4999-838b-ca17f1dd4a46,0.745685,0.4884477
00eaadd1-152c-4924-9441-ce3f04c458bd,0.93402225,0.5485778
00ec2f3f-77d0-470c-8f46-54ef26c30298,0.9026352,0.5527215
00efc084-8c8f-47e5-8f5c-f30aef25e6c5,0.5323847,0.56988144
00f03283-b9b3-4a5a-af9d-329f28a216d0,0.7847935,0.5437303
00f1cb58-54ec-4321-a5cd-7e2c33574a6d,0.76999474,0.62531406
00f2c3d7-13dc-4ac6-85a0-e1a3da259edc,0.75185585,0.5009056
00f70d35-b2dd-4048-a42b-d848a9ee1800,0.5424691,0.15410538
00f7189b-612c-48e5-a76a-f92d291b14bf,0.83430547,0.1278024
00f752e8-a7fc-4050-8365-b416b73197c5,0.66293037,0.5082549
00f8ae5f-ce02-40e0-b470-f6fba2dbeaa5,0.7903937,0.56743366
00f920ab-d48a-4954-8583-29d869759301,0.79456437,0.81185424
00fad7e2-da94-41a0-8854-c07ced616bdd,0.33966434,0.41860026
00fd9854-efc9-4ae6-b95a-684ef984a90c,0.8431632,0.58392614
00fdbd86-4064-43b5-9b45-b348faffdb1e,0.90002084,0.5477288
00fdf7d9-11e5-4038-95a0-3d654855d993,0.7446608,0.61514556
01002710-ac43-4bf2-8c21-0157ad7c90a8,0.8460452,0.5410553
01005967-1142-4fea-9a68-2f48848019d6,0.7788812,0.30053225
0104988e-d8b4-418f-b87c-566aa73f171e,0.64955664,0.2787791
01054c15-7ae0-4882-a7ad-873379d1ca6f,0.30320215,0.1847431
010558de-1aa7-46f5-818b-bb7062a0c4ac,0.7752701,0.351632
0105bf0a-5992-4233-82ef-cfe78a1c1d6a,0.8558567,0.7076195
010856fe-9430-40e3-9d7c-91bf1bb1966b,0.89924717,0.6088318
0109ba00-b115-49fc-a5b0-5da946d19b5d,0.83250535,0.6032486
010c09a4-3a44-4335-b032-dd5072296a9d,0.9089196,0.5785022
010d37ad-e3c3-4aa7-8d69-7405d5ac9afc,0.68399745,0.15088665
0111808d-91f1-4be2-98c0-668c6c349991,0.76492226,0.6254103
01131300-3ae9-4864-b458-d3ef215dde04,0.84281355,0.38042185
0113952b-ebcc-4b64-a384-8764b36f08ac,0.516806,0.47923833
011577cc-0ae8-45cd-9f5e-8a966d87aefb,0.4864745,0.16778663
011996c7-9eec-4d34-a466-88c862033055,0.7817595,0.19129115
011bf4d6-8a66-4ab3-8985-ec43f7a725f9,0.87945384,0.49786022
011ce955-4669-4a9f-8c91-e4a0bfe33184,0.6457848,0.5161015
011ef125-1de5-4141-80f3-77585ea0099e,0.6376962,0.5328205
011f2f9e-be14-4ff3-8306-80c83fc86104,0.43933555,0.6232661
01209ce6-43c0-4b24-b0db-3c28dc583761,0.7439629,0.58093315
