id,uuid,ip_hash,sex,age,region,politica,datetime,score
69,988ee3d9-8b70-437f-bcc1-71e49281d237,f83cdc3b4ce65467568fcb75ce2c2b390a716f9e8f7da562c76e8b40a26748cbdfb71307dbfe2f65843acbd92b4b67b94eee8fc3db58807ef37bb7dc94564cda,Female,26,South Lebanon,5,2019-11-17 06:03:05.479875-03,
70,0f23e67e-589c-4025-965e-ef132c0e96e5,96bad34da5853c28e6fb34d116f570aac073c3062432572e04c2a83ec8fd81c792693cc7f128061c7dc8cfce515b4a138fd850a4210ed37f9ca6330baaed86a7,Male,36,North Lebanon,5,2019-11-17 06:13:49.229284-03,
71,41fa5d0a-f48e-4ca0-a3b2-82e9bb9f7404,bb6290aa171a3cb1a5b665346f497ef1c4219afb7a80406bcb79170ca5727ae21e43433612d53f22f93d8cc5f741edffbeffa2617204dc92086d3ee71b807436,Male,45,Beirut,5,2019-11-17 06:19:22.684474-03,
72,0c83fe9a-c38d-416b-9e7e-2e9920d4a012,395c91f14db8ca6f53aef60a352b1c8b638e2442b37f75c3c1e4488de99591a595213be392c80096300b440cbd2d6e512f50122011b4f16b1f8678d706944aae,Male,46,Mount Lebanon,5,2019-11-17 06:26:19.485668-03,
73,aae35269-6ad2-4bbc-8d9a-6a3258e84481,d4d9b139d84b6db870e5220b8ca615d6f4a436b29cad06ae350cd86d253bcd67e940cd0d676764dca7e0392ce1bd4505a202ad43c8b4f855a2b8fd08facab761,Male,28,Beirut,5,2019-11-17 06:39:02.212199-03,
74,7ba03745-d76f-4e3a-9676-8170ee03ad24,9b81ee082618bfea6004221982362ee40f3d623d7ef5fb90ce9a9d7298ab8bbb949fb65ed859bcafe2e1d8a56601da5178c88b460771a440b2406f0f36c2271a,Female,60,Beirut,5,2019-11-17 06:39:13.297633-03,
75,9a999c36-6a1e-41a6-ae4b-d6c624276c18,2568a22d35d1a1e07bc232e24a8074c514b5de6b24951778202677b8c0e9b642e813087b03ad48d383e52234c0958a1a8a24c15f3f520c392a2f0c8c1a51b194,Male,30,Lebanese diaspora,5,2019-11-17 06:43:34.825736-03,
76,64c6581c-f3c0-477c-8a81-396b99093f8b,b853edcb6c70ea952fa548f99934aee6876c4dc259d526e3761d06955b9800c8d48073fafb0c53a29a30f4ec470ad1b5c39e84049f726fb780a2c878f07e8924,Male,21,North Lebanon,5,2019-11-17 06:43:59.905627-03,
77,ccb65c11-e916-41c1-94ec-6240df5a685c,77c4588fbbdf46bb5fed7c5884cd0322e96818ee1e3e6f96a9f9050f3b1689d6cce5dd610447de0744ddc6d011b5e8210d68fa65695bf0ab7a6899a47a60ed78,Male,30,Lebanese diaspora,5,2019-11-17 06:49:03.807615-03,
78,ef4f4d8f-018f-446e-8efa-632caa4f3528,aadcdf305d668e524a93514579d85c52c393b515da63dc5b2b8f69ad43e3b33cee478cccc455d4a749b2c18176726a890edc6a006cab53abe5c19b44c84de58b,Male,28,North Lebanon,5,2019-11-17 06:51:10.434024-03,
79,30322a06-386d-4cc1-9568-b4043300630a,2032542d2d8ebce1565755008fb15e57de8e0aec5d16cbacb33aa228736d29aa635eef3200fb884b985b0157a3c46cb139ed2d746b3c9affcd1aca47c2a748d1,Male,19,Mount Lebanon,5,2019-11-17 06:54:50.869353-03,
80,3f996b28-dc67-457b-9697-de14ef23d83c,14148258bf732b26e44f8394e08ee0d05d1ee1cd7541013e8498d2dde814ad69980430c4c12e00e4ab025a82cb91f69afed61034c48ae9af6bbf68b62a93fece,Male,23,North Lebanon,5,2019-11-17 06:56:57.583356-03,
81,2e920aec-ff0f-4aeb-b594-77f9d456f02c,f1969df21483322df779b874b596bdabe72865530e6394e14001fcd4f8740fab66b36c6f6224e774f1e449600955abf54d00124a5ea848154090857a45b443a5,Female,27,Mount Lebanon,5,2019-11-17 07:00:32.856157-03,
82,be8adde0-4030-43d6-b1fe-4ceaf0f2b875,fe9e90f57e0e7cc66153e1ef82d20cccbe08693707845198bb0ebb2c192e5daa674770c1b88882c28894399cac62d76fe0ca01306228cb4732b2295f305ecac2,Male,28,Mount Lebanon,5,2019-11-17 07:03:05.985064-03,
92,fbdf78ad-e0bd-4e26-9207-50fbcea0a293,668b8e092917c060ef0901e239f9b5e38dfcf1999e54b859338b43d2f762cb7e1baabced5b48bb8688555009fa4a7dd3cb9229166c78fb6f1c20f8ab6b362f07,Other,33,Lebanese diaspora,5,2019-11-17 08:24:18.307445-03,
96,303e313a-002e-4f81-958b-260777009371,f2dbbc0b057face9e7986d01420fcd71d2756c2594985093ad06c7b833daea1cfaba9c06341625826e1b604f71b0a5adf4ea0eed3ec39329343562231931fecb,Male,49,Beirut,5,2019-11-17 10:35:51.16394-03,
101,56674e10-4a63-4c78-9113-43774657d72c,69b604dc629b4b1fec1b9b880a66b1b0d13fdcfb1e253b776401f468decb894d0053140ceb44b17ece7aa18f701048e9813abf151810de606943cc229bbc0da9,Male,28,Beirut,5,2019-11-17 11:04:52.865791-03,
102,ecd62813-4656-42ad-b92e-6cbc87cb108b,d8d831d2018c157e55b18dbbb2832b53ba4fea56bb4577418bccf5773b13c339f1e1fa6e9e68ea37a887bd78861c0743ed2132cefe4f31dce8054f09e9af285d,Male,27,Mount Lebanon,5,2019-11-17 11:15:13.281212-03,
83,19a1d10c-5c11-4a8f-9734-282dbbad3b45,81784c410d9184ce9be14e0112236665ce4966c55912f7875d9a5772890538aaa5c138b5291c719122a29c70d62fde95783013ab5f70209343f02098cbcc5159,Female,20,Mount Lebanon,5,2019-11-17 07:14:54.51113-03,
94,7726dfa1-9849-4eae-9276-40651e6f7837,e7505101e2e87e76fd67c2e4faef657b9678a2bfcbe653d84af5de7c04bd180a305ce24d71389e1fc9db48ced25b189db73cbc4476602f059c869f93ac4e9329,Female,31,Beirut,5,2019-11-17 10:25:45.744179-03,
84,4ccc578d-89c5-473d-b69e-ef3aff93badd,80f0a1629e43d93dde9f4e6743ed3e655f449559c096ad2ef982186222215fa502dcaa04578be040a9fe49fe1136805b2093974319455124751329a0a907eff4,Male,32,Beirut,5,2019-11-17 07:19:18.840526-03,
90,9f937fc1-eccb-45cb-9547-19997e9e0b01,e60d1e5d5e670d90fff1ee08699e388b0358091d3df441bbef6b41bacb1a0e93eca11f58d362f5b006572176c94633cbed2c257c0b3d4da285724280d6ffec61,Male,30,Beqaa,5,2019-11-17 08:07:57.146399-03,
91,0d660242-c8d0-466e-a59d-b7f6c40f5076,885cd6e220093d527e7a79df65e692adb3bbc23de8642991dbe6d0e5dfb94cfe709704b1ff62e32c5af4fb8fb5a090db9255c8b86c28a78ef95ddb75ecd35bfc,Female,25,Mount Lebanon,5,2019-11-17 08:16:09.669696-03,
106,07960cd9-de84-419a-9e88-74055c70d82f,9e314e421b78f723bddea8af003d78df9f895bf37b52721811350b498cbf29d991e58806d17dd4ea87fd355635cffde6b5c85517afca18166ee66db263ce680e,Female,25,Beirut,5,2019-11-17 11:32:23.496158-03,
107,874e76bf-4a6b-4913-87a0-8aba0441c30e,c6374dc6023eb97883747356abde24f1ff2c3895047bce364d50adfc20e5bf0b7b240a2f6835fe585d3504cdcdca1ade9b13d36a681b01ff9073bf0622dd9eb7,Female,29,Lebanese diaspora,5,2019-11-17 11:35:46.769445-03,
85,d92d8dea-f9ed-461c-b06f-f26515431e05,992ca9068567a2db20759787858ce8851038b37bd60e18a9548fe64e26b3934d2dd0e9d0d787d68010f0957b484bc40d73fd98e2e6560ecb0cec6b20a492a575,Female,23,Mount Lebanon,5,2019-11-17 07:36:57.066569-03,
87,913dd228-682f-4b8e-a9b0-a76e032e1bbe,d806713c3c417f88308d764fa4b13802ae7834d50978789ad5fc497a5d67a9c458075146ee954a471f6f74c2e3f46701fc993b4a172d3c56aeb0599abb8e3c9e,Male,21,Mount Lebanon,5,2019-11-17 07:38:34.549322-03,
