id,uuid,ip_hash,sex,age,region,politica,datetime,score,zone
782,fb4a0e2f-6b77-4626-8281-ab5075e9c2e2,5eb3f1e80f759ee94c8f5de28246802610204f6ad1a08b940346e4e4e60e6cf24c5c6a50d1885cd42e49fc0770a0c3903eeeceb5cf03d6ba59a499c31913d5ca,Masculino,23,Bogotá D.C.,4,2019-12-22 10:13:13.528115-05,,Ciudad
785,c6a3527b-e50e-4fd9-8c75-cd08979d0b8c,a9365b478b0f155e12b0f71eee52426a9424d461d285bad53b4733baad54f1482c977cbf0078c4c07a863f18c9766ab660f501cf97d6324314bd554a0e3a76f0,Femenino,46,Bogotá D.C.,5,2019-12-23 13:04:00.195212-05,,Ciudad
786,15033ac3-b633-4c61-9123-cbef74514494,b33271acfe63074a71237bcf0907238e622022aace22c13964a564e1ad1d45d61262e5c7d8a3c09a5c62ee4057a6c1e80b4857070ca87a447ca1598fce77731f,Masculino,76,Valle del Cauca,2,2019-12-23 13:50:31.084286-05,,Ciudad
790,421c9587-5014-4981-bc63-70d7fe2c6ef8,5d78d480447506cbfed523fb2572d14b39fb818e1aaddef4b1637dad9015c6fb0bde0705468ccc358a9c27a345e2284103f413bebad07490d1ab8740c025f0aa,Masculino,40,Bogotá D.C.,6,2019-12-23 20:21:17.550693-05,,Ciudad
791,564adbcf-3761-4538-ab4b-8f7f86a1148e,0dedb48c6b663fa6aa4e7174fbf7040f500da09558ba458e7e15227e79766fcb270369986ae4533ac9644aaa161e5ec71e254dd32795daf4172a0ae32df35bc7,Masculino,20,Bogotá D.C.,3,2019-12-23 20:26:46.770974-05,,Ciudad
796,c2815920-9f88-4c6d-8618-9e719ed2f893,d80a995d4fa74bdd03d1f54da4a445f2c19301d7a64054abab9854286bf5c051b116f12be123fa67b24ba4cefc240592a8ab151aaad4aa4c0cfd41c8d7e07f6c,Masculino,44,Bogotá D.C.,7,2019-12-24 12:55:59.112884-05,,Ciudad
797,4dc48fc5-5a1d-418a-90e7-28182e6b6044,ee958af97652c19d0ab44072a6316825a8649b2f17dc8214d9623d3ceba0d935155484371d791597037943e5d8110d6a8d9d66402db962d73887b0732e03917d,Masculino,42,Bogotá D.C.,0,2019-12-24 13:08:47.592494-05,,Ciudad
799,6c3e9c5b-e046-40f9-94b0-149069150419,c14e075b041cb7d7aa975269f46f43c6e3e06fb6c63355023bfaa9db407a5edee7a0684a6b4d5b1458cd0e7878f11907d5758a5442431a5dbad36f024ebaa880,Femenino,32,Bogotá D.C.,5,2019-12-24 15:04:22.737494-05,,Ciudad
809,22791430-790b-445a-a09f-8fb8e0ff6f57,3918fd5d88895a27730898b65e35411a54ae238af6261b8776739aa9aa904f0310926faf4ad8f9c07306c052234996a7de775dd4be097a9e708a107ec534605d,Femenino,33,Fuera de Colombia,0,2019-12-26 18:16:17.917652-05,,---
811,b301c408-c1b6-40ee-8ba8-635502609e3f,6eef618895dae8635fef0030ee0f2fe4ce6047710ed48f226d89f80b9fa3a72be9051a4f93faf964eb560afdf85ddb7ca5954518180fb35b9fe660f025d5ecf5,Femenino,37,Antioquia,5,2019-12-27 15:00:42.273189-05,,Ciudad
722,6384ffce-f60d-47c8-bc94-f9cf94eb6a81,b55f98a635cbee5e5e12828d750fe836cb7f3f421cb6105cff5bf9bf95e8bb917c2017577f1d63a87389081596f9b85907596550720806a0eafe9e8e94376a7f,Masculino,28,Bogotá D.C.,4,2019-12-19 10:12:20.299592-05,,Ciudad
724,ecba2733-11be-46bd-94a4-fc4a38586b07,e4566ba8be6bdb044070903724ff8a6bc612910c916c83bc61b92434483a7df5192984b3d6506fc9f88857f6a88374d67e630dea992d6acc7b8c63776f8fc4e6,Masculino,46,Valle del Cauca,7,2019-12-19 10:34:55.820991-05,,Ciudad
726,05ad7482-ecaa-46b3-81c3-2c95706d0981,b2a8866f3612faefeaa8fe9ebdad616ab48837d5a3425243f8a867667f20fa22c5aef8a90154f1eaa7c73941283b1df59b9047b2b2bef5af2d1ed8ff10dafd6b,Masculino,20,Cundinamarca,5,2019-12-19 11:04:50.158368-05,,Ciudad
