id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
148,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:25:56.83266-03,,,0.44561914,0.42737654
151,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:25:57.739373-03,,,0.44561914,0.42737654
152,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:25:59.659471-03,,,0.44561914,0.42737654
154,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:26:00.027505-03,,,0.44561914,0.42737654
155,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:26:00.534303-03,,,0.44561914,0.42737654
156,4e1447db-4c01-4030-950e-5ebda5efc82b,Masculino,26,Metropolitana de Santiago,4,2019-10-24 12:26:10.572973-03,,,0.5150731,0.42838016
157,4e1447db-4c01-4030-950e-5ebda5efc82b,Masculino,26,Metropolitana de Santiago,4,2019-10-24 12:26:15.877512-03,,,0.5150731,0.42838016
159,b8a0b3af-ee7b-4de5-914a-82ec56c0cdaf,Masculino,44,Coquimbo,5,2019-10-24 12:26:26.526981-03,,,0.4699141,0.5014895
161,b8a0b3af-ee7b-4de5-914a-82ec56c0cdaf,Masculino,44,Coquimbo,5,2019-10-24 12:26:34.077043-03,,,0.4699141,0.5014895
162,13c95cf6-8e58-447e-8f22-b2130fe58151,Masculino,36,Metropolitana de Santiago,2,2019-10-24 12:26:52.92883-03,,,0.48948863,0.44010347
163,13c95cf6-8e58-447e-8f22-b2130fe58151,Masculino,36,Metropolitana de Santiago,2,2019-10-24 12:27:00.016148-03,,,0.48948863,0.44010347
