id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
100,641f2efd-19b8-4a40-aa48-dd9edec3d3cf,Masculino,40,Metropolitana de Santiago,10,2019-10-24 12:09:37.455878-03,,,0.4979108,0.5029857
101,b7b0b844-1331-4835-9aa3-0dab4ca29909,Femenino,43,Metropolitana de Santiago,3,2019-10-24 12:09:38.280668-03,,,0.5011265,0.50087565
107,b7b0b844-1331-4835-9aa3-0dab4ca29909,Femenino,43,Metropolitana de Santiago,3,2019-10-24 12:09:44.349606-03,,,0.5011265,0.50087565
108,2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío,6,2019-10-24 12:09:46.910266-03,,,0.50488275,0.5009959
109,2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío,6,2019-10-24 12:09:48.823932-03,,,0.50488275,0.5009959
110,2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío,6,2019-10-24 12:09:52.972136-03,,,0.50488275,0.5009959
111,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:09:59.259428-03,,,0.50167716,0.49938542
112,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:10:02.252502-03,,,0.50167716,0.49938542
113,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:10:07.522881-03,,,0.50167716,0.49938542
114,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:10:07.782813-03,,,0.50167716,0.49938542
120,a4c3e3f2-3a30-4d28-bd8f-78f336a268c6,Masculino,50,Metropolitana de Santiago,3,2019-10-24 12:21:54.809964-03,,,0.50109524,0.49720472
121,a4983451-9811-4d4b-b989-c2b2e53c0a12,Masculino,26,Metropolitana de Santiago,6,2019-10-24 12:22:15.520459-03,,,0.50198823,0.49887493
123,a1a608af-5655-4109-9e54-a31e686a37a5,Masculino,53,Metropolitana de Santiago,5,2019-10-24 12:23:04.193021-03,,,0.5015552,0.49656272
124,b2a87b94-8eaa-4890-8b88-4f24357e1dd7,Masculino,28,Valparaíso,2,2019-10-24 12:23:53.592648-03,,,0.5017041,0.4956226
125,0757f03f-f611-45df-80a9-6d54408b887d,Masculino,33,Metropolitana de Santiago,4,2019-10-24 12:23:59.725721-03,,,0.49812135,0.499878
127,59b0cae5-4605-4d5a-ad0a-30103314b751,Femenino,34,Metropolitana de Santiago,2,2019-10-24 12:24:04.765197-03,,,0.4998397,0.499533
128,f57c07c0-d163-415c-8055-7a8e246e4758,Femenino,52,Biobío,3,2019-10-24 12:24:10.257994-03,,,0.5032137,0.4964278
129,a8a3907e-dd72-410c-b6a1-b5b1570d3bb4,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:24:14.843802-03,,,0.5007372,0.5045127
130,a8a3907e-dd72-410c-b6a1-b5b1570d3bb4,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:24:18.509354-03,,,0.5007372,0.5045127
133,ed237e82-9532-4d91-98ac-07516070693c,Femenino,29,Fuera de Chile,5,2019-10-24 12:24:38.513907-03,,,0.49788192,0.49868727
134,4805d147-7a14-4825-b49a-bcf205a552c6,Masculino,30,Fuera de Chile,0,2019-10-24 12:24:45.215081-03,,,0.5043693,0.50031394
135,99ac3b85-72eb-4b6c-b933-68cbd2838dbd,Masculino,27,Metropolitana de Santiago,8,2019-10-24 12:24:59.94565-03,,,0.49791795,0.501887
136,3cd54f2e-34e8-4031-90fe-c4dd806c06d7,Femenino,31,Metropolitana de Santiago,5,2019-10-24 12:25:00.846178-03,,,0.49700356,0.49867624
137,a81d916c-c319-43e0-9860-410a1099782b,Masculino,37,Metropolitana de Santiago,3,2019-10-24 12:25:24.122491-03,,,0.5001378,0.49971262
138,a81d916c-c319-43e0-9860-410a1099782b,Masculino,37,Metropolitana de Santiago,3,2019-10-24 12:25:26.884184-03,,,0.5001378,0.49971262
139,a92a9c79-f080-4f11-a821-74cd808b02d8,Masculino,37,Araucanía,2,2019-10-24 12:25:29.121316-03,,,0.49879536,0.49934855
141,a92a9c79-f080-4f11-a821-74cd808b02d8,Masculino,37,Araucanía,2,2019-10-24 12:25:35.047724-03,,,0.49879536,0.49934855
144,87071599-348e-4843-b6d7-bdee54f595f6,Femenino,30,Araucanía,2,2019-10-24 12:25:45.541496-03,,,0.5014252,0.5034211
146,87071599-348e-4843-b6d7-bdee54f595f6,Femenino,30,Araucanía,2,2019-10-24 12:25:50.419573-03,,,0.5014252,0.5034211
145,89d134c4-dd24-4ee1-abf6-7be1e7fad269,Masculino,20,Metropolitana de Santiago,5,2019-10-24 12:25:48.159466-03,,,0.49637252,0.4991278
147,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:56.343862-03,,,0.5005604,0.50221974
149,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:57.043219-03,,,0.5005604,0.50221974
150,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:57.608868-03,,,0.5005604,0.50221974
153,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:59.696799-03,,,0.5005604,0.50221974
148,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:25:56.83266-03,,,0.50381994,0.49602693
151,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:25:57.739373-03,,,0.50381994,0.49602693
152,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:25:59.659471-03,,,0.50381994,0.49602693
154,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:26:00.027505-03,,,0.50381994,0.49602693
155,3aa3b52f-0386-4346-a933-bac95ca27ffe,Otro,23,Metropolitana de Santiago,0,2019-10-24 12:26:00.534303-03,,,0.50381994,0.49602693
156,4e1447db-4c01-4030-950e-5ebda5efc82b,Masculino,26,Metropolitana de Santiago,4,2019-10-24 12:26:10.572973-03,,,0.4980355,0.4934112
157,4e1447db-4c01-4030-950e-5ebda5efc82b,Masculino,26,Metropolitana de Santiago,4,2019-10-24 12:26:15.877512-03,,,0.4980355,0.4934112
159,b8a0b3af-ee7b-4de5-914a-82ec56c0cdaf,Masculino,44,Coquimbo,5,2019-10-24 12:26:26.526981-03,,,0.49819848,0.50148535
161,b8a0b3af-ee7b-4de5-914a-82ec56c0cdaf,Masculino,44,Coquimbo,5,2019-10-24 12:26:34.077043-03,,,0.49819848,0.50148535
162,13c95cf6-8e58-447e-8f22-b2130fe58151,Masculino,36,Metropolitana de Santiago,2,2019-10-24 12:26:52.92883-03,,,0.5045695,0.49821413
163,13c95cf6-8e58-447e-8f22-b2130fe58151,Masculino,36,Metropolitana de Santiago,2,2019-10-24 12:27:00.016148-03,,,0.5045695,0.49821413
164,ac8d6c35-d352-4bc9-afc6-5ba1ae3e49a2,Femenino,-54,Valparaíso,5,2019-10-24 12:27:13.594941-03,,,0.50239354,0.50280035
